Entity;Life expectancy - Sex: female - Age: at birth - Variant: estimates;Life expectancy - Sex: male - Age: at birth - Variant: estimates;Population - Sex: all - Age: all - Variant: estimates ;;;Continent
North Korea;73.5;66.5;24686436;;;
North Macedonia;77.5;72.8;2093828;;;
Northern Mariana Islands;79.4;75.8;54109;;;
Norway;83.2;78.8;4889747;;;
Oman;78.5;74.6;2881915;;;
Pakistan;66.9;62.3;194454500;;;
Palau;68.7;63;18563;;;
Palestine;75.1;70.9;3992283;;;
Panama;79.7;73.3;3623622;;;
Papua New Guinea;65.3;61.3;7583269;;;
Paraguay;74.8;69.2;5768618;;;
Peru;75.9;71.6;29229576;;;
Philippines;72.4;69.1;94636700;;;
Poland;80.5;72.2;38597356;;;
Portugal;83.1;76.8;10588401;;;
Puerto Rico;82.1;74;3717920;;;
Qatar;80.5;77.4;1713512;;;
Reunion;83.4;76.3;890144;;;
Romania;77.7;70.4;20335212;;;
Russia;75.3;63.5;143242600;;;
Rwanda;64.2;60.7;10309032;;;
Saint Barthlemy;81.8;75.4;9011;;;
Saint Helena;80.3;73.4;5338;;;
Saint Kitts and Nevis;74.4;68.4;47429;;;
Saint Lucia;75.7;69.9;170950;;;
Saint Martin (French part);81.8;75.4;36478;;;
Saint Pierre and Miquelon;81;72.9;6075;;;
Saint Vincent and the Grenadines;77.6;72.2;109324;;;
Samoa;75;69.7;194686;;;
San Marino;84.3;80.9;31631;;;
Sao Tome and Principe;67.8;62.9;182154;;;
Saudi Arabia;77.6;74.5;29411930;;;
Senegal;66.3;62.8;12530128;;;
Serbia;77.3;71.4;7653749;;;
Seychelles;77.6;68.8;92424;;;
Sierra Leone;54.5;52.9;6436699;;;
Singapore;84;79.3;5163585;;;
Sint Maarten (Dutch part);78;72.5;33056;;;
Slovakia;79.2;71.7;5396428;;;
Slovenia;82.7;76.5;2057294;;;
Small Island Developing States (SIDS);69.3;65.2;65870836;;;
Solomon Islands;70.6;67.1;540402;;;
Somalia;52.5;48.7;12026650;;;
South Africa;61.3;56.1;51784930;;;
South Korea;84.2;77.1;48813036;;;
South Sudan;55.8;53.7;9714425;;;
Spain;85;79;46572776;;;
Sri Lanka;77.6;69.2;20668556;;;
Sudan;65.5;60.7;33739932;;;
Suriname;73.6;66.5;546085;;;
Sweden;83.5;79.5;9381722;;;
Switzerland;84.4;80;7822444;;;
Syria;76.7;71.4;22337558;;;
Taiwan;82.6;76.1;23083086;;;
Tajikistan;70.4;65.4;7621785;;;
Tanzania;61.9;58.4;45110532;;;
Thailand;80.4;72.1;68270490;;;
Timor;67;63.8;1088492;;;
Togo;57.4;57.2;6571862;;;
Tokelau;74.6;72.8;1389;;;
Tonga;73.4;67.6;107401;;;
Trinidad and Tobago;76.1;69.3;1410297;;;
Tunisia;78.6;72.6;10895063;;;
Turkey;78.2;71.9;73195350;;;
Turkmenistan;71.6;64.9;5267975;;;
Turks and Caicos Islands;79.1;73.7;29751;;;
Tuvalu;67.7;60.6;10570;;;
Uganda;58.8;55.2;32341724;;;
Ukraine;75.4;65.7;45683024;;;
United Arab Emirates;80.2;76.5;8481775;;;
United Kingdom;82.3;78.4;62760050;;;
United States;81.2;76.3;311182850;;;
United States Virgin Islands;77.8;69.2;106154;;;
Uruguay;80.9;72.6;3352653;;;
Uzbekistan;71.8;66.7;28614234;;;
Vanuatu;72.1;67.6;245464;;;
Vatican;83.8;79.1;100;;;
Venezuela;77.1;68.9;28715026;;;
Vietnam;78.3;68.8;87411016;;;
Wallis and Futuna;78.7;72.8;13167;;;
Western Sahara;69.3;66;413307;;;
Yemen;69.4;65.2;24743944;;;
Zambia;58.5;54.9;13792095;;;
Zimbabwe;52.2;48.9;12839774;;;
